Nombre del Servicio,Descripción,Vínculo (servicio relacionado),Categoría,Fecha de venta,Mes de inicio de cobro,Fecha de Revisión de Valor,Frecuencia (ventas),Frecuencia (cobros),Precio,Importe facturado,Precio total (plazos),IVA,Cliente Fundador/ Impulso Digital,Activo en catálogo,Gastos,Notas
PersonaCraft: Estratega,,,Pay per Use,1/11/2027,1/11/2027,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/11/2027,1/11/2027,,12,12,"€39,00","566,28 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/11/2027,1/11/2027,,1,1,"€89,00","107,69 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/12/2027,1/12/2027,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/12/2027,1/12/2027,,10,10,"€49,00","592,90 €",,21%,,,,
"Formación ""Immersion""",,,Puntual,1/12/2027,1/12/2027,,1,1,"€1.500,00","1.815,00 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/12/2027,1/12/2027,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/12/2027,1/12/2027,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/12/2027,1/12/2027,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/1/2028,1/1/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/1/2028,1/1/2028,,10,10,"€49,00","592,90 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/1/2028,1/1/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/1/2028,1/1/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/1/2028,1/1/2028,,12,12,"€39,00","566,28 €",,21%,,,,
SourceCraft: Monitor,,,Recurrente Pasivo,1/1/2028,1/1/2028,,1,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/2/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/3/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/4/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/5/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/6/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/7/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/8/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/9/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/10/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/11/2028,,0,5,"€129,00","780,45 €",,21%,,,,
SourceCraft: Monitor,,232,Recurrente Pasivo,1/1/2028,1/12/2028,,0,5,"€129,00","780,45 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/2/2028,1/2/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/2/2028,1/2/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/2/2028,1/2/2028,,1,1,"€499,00","603,79 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/2/2028,1/2/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/2/2028,1/2/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/2/2028,1/2/2028,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/3/2028,1/3/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/3/2028,1/3/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/3/2028,1/3/2028,,1,1,"€499,00","603,79 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/3/2028,1/3/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/3/2028,1/3/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/3/2028,1/3/2028,,12,12,"€39,00","566,28 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/3/2028,1/3/2028,,1,1,"€89,00","107,69 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/4/2028,1/4/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/4/2028,1/4/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/4/2028,1/4/2028,,1,1,"€499,00","603,79 €",,21%,,,,
"Formación ""Immersion""",,,Puntual,1/4/2028,1/4/2028,,1,1,"€1.500,00","1.815,00 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/4/2028,1/4/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/4/2028,1/4/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/4/2028,1/4/2028,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/5/2028,1/5/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/5/2028,1/5/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/5/2028,1/5/2028,,1,1,"€499,00","603,79 €",,21%,,,,
N4: Módulo de Anticipación,Plazo 1,,Puntual,1/5/2028,1/5/2028,,1,1,"€3.750,00","4.537,50 €","€7.500,00",21%,,,,
N4: Módulo de Anticipación,Plazo 2,267,Puntual,1/5/2028,1/7/2028,,0,1,"€3.750,00","4.537,50 €","€7.500,00",21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/5/2028,1/5/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/5/2028,1/5/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/5/2028,1/5/2028,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/6/2028,1/6/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/6/2028,1/6/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/6/2028,1/6/2028,,1,1,"€499,00","603,79 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/6/2028,1/6/2029,1,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/7/2028,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/8/2028,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/9/2028,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/10/2028,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/11/2028,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/12/2028,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/1/2029,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/2/2029,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/3/2029,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/4/2029,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,193,Mantenimiento,1/6/2028,1/5/2029,1/6/2029,0,1,"€350,00","423,50 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/6/2028,1/6/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/6/2028,1/6/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/6/2028,1/6/2028,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/7/2028,1/7/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/7/2028,1/7/2028,,10,10,"€49,00","592,90 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/7/2028,1/7/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/7/2028,1/7/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/7/2028,1/7/2028,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/8/2028,1/8/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/8/2028,1/8/2028,,10,10,"€49,00","592,90 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/8/2028,1/8/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/8/2028,1/8/2028,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/9/2028,1/9/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/9/2028,1/9/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/9/2028,1/9/2028,,2,2,"€499,00","1.207,58 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/9/2028,1/9/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/9/2028,1/9/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/9/2028,1/9/2028,,12,12,"€39,00","566,28 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/9/2028,1/9/2028,,1,1,"€89,00","107,69 €",,21%,,,,
SourceCraft: Global,,,Recurrente Pasivo,1/9/2028,1/9/2028,,1,4,"€349,00","1.689,16 €",,21%,,,,
SourceCraft: Global,,306,Recurrente Pasivo,1/9/2028,1/10/2028,,0,4,"€349,00","1.689,16 €",,21%,,,,
SourceCraft: Global,,306,Recurrente Pasivo,1/9/2028,1/11/2028,,0,4,"€349,00","1.689,16 €",,21%,,,,
SourceCraft: Global,,306,Recurrente Pasivo,1/9/2028,1/12/2028,,0,4,"€349,00","1.689,16 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/10/2028,1/10/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/10/2028,1/10/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/10/2028,1/10/2028,,2,2,"€499,00","1.207,58 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/10/2028,1/10/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/10/2028,1/10/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/10/2028,1/10/2028,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/11/2028,1/11/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/11/2028,1/11/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/11/2028,1/11/2028,,2,2,"€499,00","1.207,58 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/11/2028,1/11/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/11/2028,1/11/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/11/2028,1/11/2028,,12,12,"€39,00","566,28 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/12/2028,1/12/2028,,5,5,"€149,00","901,45 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/12/2028,1/12/2028,,10,10,"€49,00","592,90 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/12/2028,1/12/2028,,2,2,"€499,00","1.207,58 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/12/2028,1/12/2028,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/12/2028,1/12/2028,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/12/2028,1/12/2028,,12,12,"€39,00","566,28 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/2/2029,1/2/2030,1,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/3/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/4/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/5/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/6/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/7/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/8/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/10/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/9/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/11/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/12/2029,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
N4 Mantenimiento,,267,Mantenimiento,1/2/2029,1/1/2030,1/2/2030,0,1,"€350,00","423,50 €",,21%,,,,
